ID,avgKill,special_hit_ratio,oneTapPercentage,precision,ratio of hit when moving,flashEfficiency,avg_TTK,var_TTK,occluderKill,firstHitPrecision,inertialShotPercentage,Var_hit_group,propsStats,BlindKillPercentage,CHPrecision,firstKillRate,avg_delta,var_delta,avg_gamma,var_gamma,avg_t0_t1_duration,var_t0_t1_duration,avg_t1_t2_duration,var_t1_t2_duration,avg_duration,var_duration,avg_speed,var_speed,isCheater
madahua_g151-n-20230817023557724517768,0.4166666666666667,0.3333333333333333,0.0416666666666666,0.1348600508905852,0.0694444444444444,-0.1838513866515497,237.7142857142857,117702.0659340659,0.0,0.1929824561403508,1.0,0.0093449931412894,0.0175,0.1,0.1388888888888889,0.0833333333333333,3.1247001250000004,119.28777596864803,0.2848809375,0.8221231898379292,0.1591796875,0.0127675374348958,0.07421875,0.0129069010416666,0.2333984375,0.0234527587890625,143.1011212747105,80035.47066142998,0
momgfg_g151-n-20230827170623078891493,1.0333333333333334,0.0880503144654088,0.0314465408805031,0.2535545023696682,0.0566037735849056,1.0,211.06382978723408,98833.36540240516,0.0,0.320754716981132,0.935483870967742,0.0107151176333566,0.0146666666666666,0.032258064516129,0.0880503144654088,0.1666666666666666,5.428043818181818,268.5758945964656,3.645853848484848,188.8753150419103,0.1941287878787878,0.0102543686375473,0.1747159090909091,0.0684120871803977,0.3688446969696969,0.0727224638967803,252.77165423664724,254853.70055380027,0
kk真的睡不醒_g152-n-20230820134043418294049,0.2727272727272727,0.0625,0.0,0.155440414507772,0.21875,-0.9180371064186864,75.0,6797.714285714285,0.0,0.12,1.0,0.027150848765432,0.0145454545454545,0.0,0.03125,0.0,5.310209200000001,228.76637279479485,0.2258431,0.1174022286332111,0.1921875,0.0168212890624999,0.1765625,0.0464979383680555,0.36875,0.0729275173611111,53.87924782494857,3944.475452237172,0
风月闲人_g159-n-20230825190345357816307,0.7894736842105263,0.4712643678160919,0.0114942528735632,0.1157742402315484,0.1494252873563218,-0.5586488822175564,284.5833333333333,145251.90579710147,0.0,0.1521739130434782,1.0,0.0134760206103844,0.0147368421052631,0.0,0.1379310344827586,0.0526315789473684,10.004707526315787,541.7241703172663,10.106036526315789,526.0109492003954,0.1981907894736842,0.0070001256396198,0.5148026315789473,0.3317999588815789,0.7129934210526315,0.3636396084612573,196.62011283358785,228004.20516489612,0
ifandso_g152-v-20230819132532818637840,0.4285714285714285,0.4318181818181818,0.0681818181818181,0.1563786008230452,0.0681818181818181,-0.0132208612982165,306.0,80205.71428571429,0.0,0.1875,0.6666666666666666,0.012332925211713,0.0123809523809523,0.0,0.1136363636363636,0.0476190476190476,6.33150276923077,457.4875361290006,4.0539193846153845,193.5314480434334,0.2632211538461538,0.0063007061298076,0.4182692307692308,0.3264629657451923,0.6814903846153846,0.3581762069310898,77.34948596899355,40021.26293106614,0
花生的饲养员_g152-v-20230822000301126450482,0.6190476190476191,0.1379310344827586,0.0689655172413793,0.1927272727272727,0.1034482758620689,-0.6810985697193777,103.3,26134.010526315786,0.0,0.2580645161290322,1.0,0.0138136551136947,0.018095238095238,0.0,0.1206896551724138,0.0,0.3181923333333335,0.2331656830038666,10.340253333333331,631.8417361174864,0.1666666666666666,0.0116861979166666,0.1354166666666666,0.0194986979166666,0.3020833333333333,0.0181315104166666,133.98369438172853,95283.26969256304,0
️⚡️Twistzz⚡️_g151-n-20230823204600476242598,0.2083333333333333,0.1724137931034483,0.0,0.0935251798561151,0.0,0.0,135.33333333333334,8001.0666666666675,0.0208333333333333,0.1739130434782608,1.0,0.0089252946962023,0.01,0.0,0.0689655172413793,0.0,0.5197354285714286,0.1847866637049524,8.772723285714287,390.5949599424346,0.21875,0.0147298177083333,0.5959821428571429,0.3423200334821428,0.8147321428571429,0.4486025855654763,228.3666518205514,139678.4515572647,0
jiwuxuan_g152-v-20230819195753118749555,0.631578947368421,0.1627906976744186,0.0930232558139534,0.2118226600985221,0.1627906976744186,-0.2418016129746075,97.14285714285714,2282.2857142857147,0.0526315789473684,0.2307692307692307,0.8333333333333334,0.0157175383423806,0.0136842105263157,0.0,0.2093023255813953,0.0,4.170700307692309,190.0210886138616,7.170974846153848,373.7454352046975,0.2487980769230769,0.0086043920272435,0.3257211538461538,0.2116636618589743,0.5745192307692307,0.2077292417868589,73.6567057035077,21149.618375056478,0
我以为你会记得我_g151-n-20230725170607678193659,0.9,0.1224489795918367,0.1428571428571428,0.2625368731563421,0.0306122448979591,-0.0809555444145058,96.59574468085108,31353.72432932469,0.0166666666666666,0.4090909090909091,0.925925925925926,0.0202564774965163,0.0106666666666666,0.0,0.0612244897959183,0.0666666666666666,5.601867481481482,334.47604828335074,0.164501037037037,0.4781213709154217,0.2424768518518518,0.0107867031695156,0.074074074074074,0.0858171685808403,0.3165509259259259,0.1014421685808404,149.3939643352431,149467.70818866396,0
心不动则hAS_g151-n-20230728035140805657177,0.6875,0.2413793103448276,0.2413793103448276,0.1461988304093567,0.0,-0.5878184349627579,330.0,111651.42857142857,0.03125,0.2222222222222222,0.9090909090909092,0.0128888301698448,0.02625,0.0,0.1724137931034483,0.0625,34.76361216666667,1610.1266716905482,14.402083500000002,1072.7022996682422,0.2526041666666667,0.0094156901041666,0.1041666666666666,0.0260416666666666,0.3567708333333333,0.0426188151041666,388.8924057061022,208874.88807226164,0
